Store Code,Mall/HS,Business Name,Zone,Zone New,City,State,Comment Date,Comment Date_NEW,Month_No.,Month,Quarter,Quarter,FY,Customer Response,Customer Rating,Sentiment,Response_Type
HFQ,Mall,Crocs,South Zone,South,Hyderabad,Telangana,03-02-2024 18:06,03-02-2024,2,K. FEB,Q4(JFM),Q4,FY24-25,"Worst behaviour with customer did not know
how to speak how can crocs give franchise these sort of fellows, doesn’t know how to talk with customer, crocs u lost one customer with his behaviour",1,NEGATIVE,Customer Service
AOQ,High-Street,Crocs,West Zone,West,Ahmedabad,Gujarat,23-02-2024 00:19,23-02-2024,2,K. FEB,Q4(JFM),Q4,FY24-25,"The store offers an excellent shopping experience, benefits from a convenient location, and employs a very helpful staff, particularly Mr. Joheb Shaikh.",5,POSITIVE,Customer Service
ERD,High-Street,Metro Shoes,South Zone,South,Erode,Tamil Nadu,24-02-2024 09:03,24-02-2024,2,K. FEB,Q4(JFM),Q4,FY24-25,Highly business oriented.  Bossy and not satisfied,3,NEUTRAL,Customer Service
KLQ,Mall,Crocs,South Zone,South,Kochi,Kerala,28-03-2024 12:19,28-03-2024,3,L. MAR,Q4(JFM),Q4,FY24-25,"Crocs has excellent service and a helpful staff. Leaving a review mentioning their good service can really make a difference. I'm sure others will appreciate your feedback.
I'm glad you feel like a part of the Crocs family. It's great to hear that you're a fan of their collection. As for the staff, they are truly amazing. They go above and beyond to make sure you have a wonderful shopping experience. They are knowledgeable, friendly, and always ready to assist you with a smile. It's clear that they genuinely care about their customers. I'm sure you'll continue to have great interactions with them in the future! 😄👍",5,POSITIVE,Customer Service
AND,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,01-04-2024 09:03,01-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Good quality stuff but prices are start from 1500k nice location and ambitious very good,4,POSITIVE,Product Quality
HYD,High-Street,Metro Shoes,South Zone,South,Hyderabad,Telangana,01-04-2024 12:36,01-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Affordable and trustable ,as far as quality is concerned....",3,NEUTRAL,Product Quality
PSM,Mall,Mochi Shoes,West Zone,West,Mumbai,Maharashtra,01-04-2024 18:42,01-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,I come there often to buy shoes but yesterday I was in my home clothes with slippers and shorts so the guy in your store Shanwaz Shayad he was very rude I mean I had my choice and I just asked him whether the shoe is original  so he started saying this is 8000 rs shoe how can you say that it is not original local guys will feel local but customer who here's branded shoes can only know the value of og shoes it was very embarrassing for us please look into it and train your staff to be polite,1,NEGATIVE,In-Store Experience
PEM,Mall,Mochi Shoes,West Zone,West,Pune,Maharashtra,01-04-2024 20:01,01-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Not cooperating stap,1,NEGATIVE,In-Store Experience
MCP,High-Street,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,02-04-2024 00:01,02-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,I visited the shop today.. very poor customer service... they dint even ask what I want..and there were no attender to me..actually I was about to purchase a slipper which I liked but due to poor customer service I walked out from the shop..,1,NEGATIVE,In-Store Experience
BGL,High-Street,Metro Shoes,South Zone,South,Bangaluru,Karnataka,02-04-2024 05:40,02-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"The worst Staff making jokes on the customers in their own code language and laughs on the customers, very 3rd class behaviour, don't visit the shop, let first the owner change such staff",1,NEGATIVE,In-Store Experience
BUM,Mall,Mochi Shoes,West Zone,West,Bharuch,Gujarat,02-04-2024 14:30,02-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very worst service mochi shoe i spent 18000/- shoe purchase my money back another wise i want new shoes same as i choose,1,NEGATIVE,In-Store Experience
MCP,High-Street,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,02-04-2024 14:32,02-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Collections are good here and customer experience is also good,4,POSITIVE,Product Assortment
SLM,High-Street,Mochi Shoes,West Zone,West,Surat,Gujarat,02-04-2024 14:33,02-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Good collection, helpful staff.",4,POSITIVE,In-Store Experience
KPM,Mall,Mochi Shoes,West Zone,West,Mumbai,Maharashtra,02-04-2024 14:48,02-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,When my sandals were under warranty I gave it for servicing and they took 17days to stick it with glue and give it to me. this is their warranty. Cheats,1,NEGATIVE,In-Store Experience
AND,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,02-04-2024 18:36,02-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Love the variety of the products.,4,POSITIVE,Product Assortment
DXL,High-Street,Metro Shoes,North Zone,North,New Delhi,Delhi,02-04-2024 18:41,02-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Good quality of products,4,POSITIVE,Product Quality
BAQ,High-Street,Crocs,East Zone,East,Bhubaneshwar,Odisha,03-04-2024 11:49,03-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,They never picks up phone,1,NEGATIVE,In-Store Experience
DXL,High-Street,Metro Shoes,North Zone,North,New Delhi,Delhi,03-04-2024 12:15,03-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Good Collection. Good Experience.,4,POSITIVE,Product Assortment
BJM,High-Street,Mochi Shoes,South Zone,South,Bangaluru,Karnataka,03-04-2024 13:06,03-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Worst service,1,NEGATIVE,In-Store Experience
MCP,High-Street,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,03-04-2024 13:59,03-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,good experience,3,NEUTRAL,In-Store Experience
KST,High-Street,Metro Shoes,South Zone,South,Kochi,Kerala,03-04-2024 20:40,03-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"They have a good selected collection of premium leatherware and foot ware.

The lady staff was very courteous and went out of her way to ensure that, the customer got the apt product..

PS...to the Owners/ Management

If u force a person to wear a tie in this weather , that same person will ensure that no customer will ever be a repeat customer by being incredibly rude...(hope its clear who i am talking about ). I would have returned the stuff i bought today , but didnt want to engage people like this further.

Appreciate the words of gandhi which were  written below the founders photo but kindly add this as well...

""Be courteous to your customer, there are plenty of online shops around, and old school customers who prefer physical shopping are going extinct..kindly treat the last of them with respect.""",3,NEUTRAL,In-Store Experience
BYM,Mall,Mochi Shoes,North Zone,North,Bareilly,Uttar Pradesh,03-04-2024 21:03,03-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very worst experience store manager given wrong commitment,1,NEGATIVE,In-Store Experience
JAQ,High-Street,Crocs,West Zone,West,Jamnagar,Gujarat,03-04-2024 21:13,03-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"I purchased Light ride sandals of 4700/ in October  and within two months they became worn out .I complained to company through shopkeeper and company denied from any type of service.It's a cheater company ,no need to invest your hard earned money on its products.",1,NEGATIVE,In-Store Experience
VVP,Mall,Metro Shoes,North Zone,North,Varanasi,Uttar Pradesh,03-04-2024 22:09,03-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"This place in Varanasi is a must-visit for both men and women looking for slippers and sandals. They have a fantastic selection of high-quality brands, making it the ultimate footwear store in town. My family and I also grabbed some stylish sandals for the upcoming Eid occasion. 🌟👞👡",5,POSITIVE,Product Quality
GTM,Mall,Mochi Shoes,West Zone,West,Mumbai,Maharashtra,03-04-2024 22:13,03-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Nice collections and very humble employees,5,POSITIVE,Product Assortment
RMQ,Mall,Crocs,East Zone,East,Raipur,Chhattisgarh,04-04-2024 14:23,04-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very good,5,POSITIVE,In-Store Experience
MDY,High-Street,Metro Shoes,South Zone,South,Chennai,Tamil Nadu,04-04-2024 14:33,04-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Used to buy from many years back, however the last purchase was very disappointing . I had travelled quite a distance to purchase in this shop being a regular, but got permanently marked/ used crocs. The salesperson cleverly said it is washable and can return back for lifetime service. The product was bought for full price 5k and remains with the stain",2,NEGATIVE,In-Store Experience
LIM,Mall,Mochi Shoes,West Zone,West,Mumbai,Maharashtra,04-04-2024 14:44,04-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Worst experience
They sell duplicate products of brands like FILA
After I complained at the stor, they kept my shoes for more than a month for repairing and then returned as it is",1,NEGATIVE,In-Store Experience
CLM,High-Street,Mochi Shoes,East Zone,East,Kolkata,West Bengal,04-04-2024 17:57,04-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very bad experience with this mochi showroom in Esplanade Kolkata Jawaharlal Nehru.. Sale man Shakil Ahmed he is very rude behaviouing with me .. shoes dikhane ke bajay falls argument karne Laga maine bola shoes dikhao usne bola time nhi h khud se dekho lo.. maine bola bhaiya acche se baat karo main to tamiz se baat kar raha hun uske bad vah abuse karne Laga harassment karne Laga mujhe aur bahut badtamiji se baat karne laga please aap sabhi se gujarish hai ye showroom mat jana  apsab log se ghusarish hai,1,NEGATIVE,In-Store Experience
M1Q,High-Street,Crocs,South Zone,South,Chennai,Tamil Nadu,04-04-2024 18:09,04-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Very good collection and very friendly staff.,5,POSITIVE,In-Store Experience
HYD,High-Street,Metro Shoes,South Zone,South,Hyderabad,Telangana,05-04-2024 03:43,05-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,This is the only branch they are operating in twin Cities.,5,POSITIVE,In-Store Experience
DRP,Mall,Metro Shoes,North Zone,North,New Delhi,Delhi,05-04-2024 12:46,05-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Very very bad experience whole staff and manager are worst they don't know how to deal with customer ,they gives old manufacturing date products the product also damage after 10 days please don't purchase here very very poor quality with heavy rates",1,NEGATIVE,Product Quality
HSM,High-Street,Mochi Shoes,South Zone,South,Hyderabad,Telangana,06-04-2024 03:36,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"This is not first time that I had buy chappal from your shop , last time it was great but now I want to buy comfortable chappal pair but it is very hard & it cost me approx 3000/- n iam not satisfy from this time service",1,NEGATIVE,In-Store Experience
CTQ,High-Street,Crocs,South Zone,South,Coimbatore,Tamil Nadu,06-04-2024 07:31,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"This Company owned outlet stocks a wide range of Crocs footwear. Manned by a single person when we went there. The footfall in the store is quite light. Willing to procure any item that may not be in stock and inform us on its arrival so that we could collect it / they could arrange delivery. They also claim to give technical service for any products purchased in-store. They do not offer service support for any online purchases.

Car parking is available inside the building area, behind the store. Parking fee is waived based on rubber-stamp from Crocs .",4,POSITIVE,In-Store Experience
BSS,High-Street,Metro Shoes,South Zone,South,Bangaluru,Karnataka,06-04-2024 09:08,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Location is not showing proper km are very very high mistakes showinf,1,NEGATIVE,In-Store Experience
HUM,Mall,Mochi Shoes,South Zone,South,Hubli,Karnataka,06-04-2024 13:07,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Polite behaviour by the staff, good manners and decent behaviour in receiving the customers
Coming to the the products they are plenty of varieties and models and very nice in quality if any issues they are providing proper remedy for the issues so totally I would like to purchase in mochi store hubli the experience related their customer concern  and in regarding returns and billing everything was fine nothing is bad about the store thank you mochi....",5,POSITIVE,Product Quality
HUM,Mall,Mochi Shoes,South Zone,South,Hubli,Karnataka,06-04-2024 13:07,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Polite behaviour by the staff, good manners and decent behaviour in receiving the customers
Coming to the the products they are plenty of varieties and models and very nice in quality if any issues they are providing proper remedy for the issues so totally I would like to purchase in mochi store hubli the experience related their customer concern  and in regarding returns and billing everything was fine nothing is bad about the store thank you mochi....",5,POSITIVE,Product Quality
TKS,Mall,Metro Shoes,West Zone,West,Thane,Maharashtra,06-04-2024 16:02,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Great collection. Very courteous staff. Purchased Da Vinci Shoes. Mr Kayyub Ansari made sure to find a right one for me. Very good store.,5,POSITIVE,In-Store Experience
CHQ,Mall,Crocs,North Zone,North,Chandigarh,Chandigarh,06-04-2024 18:57,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Much costly,3,NEUTRAL,Product Pricing
PFQ,High-Street,Crocs,East Zone,East,Patna,Bihar,06-04-2024 19:43,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Have a variety of collection for everyone in the family. Crocs is known for its comfort and as many copies of the products are available in the market, it's best to visit the official store. The staff is very helpful and courteous.",5,POSITIVE,In-Store Experience
GHD,High-Street,Metro Shoes,West Zone,West,Gandhidam,Gujarat,06-04-2024 20:59,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Very bad experience, I asked him to show me purse, He told me Yaha bathroom sleepers bhi 1250 me milta hai",1,NEGATIVE,In-Store Experience
LKR,High-Street,Metro Shoes,West Zone,West,Mumbai,Maharashtra,06-04-2024 21:03,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Thnk u so much for giving me new shoes❤️❤️❤️,5,POSITIVE,In-Store Experience
BGL,High-Street,Metro Shoes,South Zone,South,Bangaluru,Karnataka,06-04-2024 21:32,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,Worst metro showroom I've ever been to. Very bad customer service. All the other metro showrooms we've been to told us they can repair the footwear for free since there was 1 year warranty....only these guys asked money for repairing which is basically cheating the customer.,1,NEGATIVE,In-Store Experience
VNM,High-Street,Mochi Shoes,North Zone,North,Varanasi,Uttar Pradesh,06-04-2024 21:47,06-04-2024,4,A. APR,Q1(AMJ),Q1,FY24-25,"Nice collection of crox ,shoes, slippers,",4,POSITIVE,Product Assortment
